epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,3222.27,0.81871,0.4139,1.07304,0.9904,0.99616,0.99259,0.82264,0.75167,0.29226,1.05624,0.008218,0.008218,0.008218
56,3280.16,0.8168,0.41375,1.07032,0.99208,0.99448,0.99183,0.81528,0.74246,0.29226,1.05428,0.008185,0.008185,0.008185
57,3338.14,0.81946,0.41006,1.07203,0.99167,0.99046,0.99345,0.81784,0.75318,0.28993,1.06052,0.008152,0.008152,0.008152
58,3396.18,0.81939,0.41086,1.0743,0.99482,0.99208,0.99209,0.82257,0.74402,0.29393,1.04989,0.008119,0.008119,0.008119
59,3454.02,0.81427,0.41007,1.06351,0.9894,0.99277,0.99166,0.81742,0.76537,0.3003,1.06593,0.008086,0.008086,0.008086
60,3511.82,0.81895,0.41082,1.07105,0.99438,0.9913,0.99169,0.81228,0.77737,0.30352,1.08227,0.008053,0.008053,0.008053
61,3569.71,0.81265,0.40811,1.06346,0.99363,0.99416,0.99309,0.81929,0.74515,0.28821,1.0558,0.00802,0.00802,0.00802
62,3627.58,0.82142,0.4022,1.06995,0.99453,0.98912,0.99275,0.81494,0.76027,0.29369,1.06945,0.007987,0.007987,0.007987
63,3685.61,0.81298,0.40017,1.0666,0.99414,0.99325,0.99225,0.82317,0.7513,0.28658,1.05599,0.007954,0.007954,0.007954
64,3743.42,0.81352,0.39985,1.06644,0.99589,0.99437,0.99295,0.82339,0.75048,0.2839,1.05279,0.007921,0.007921,0.007921
65,3801.15,0.80952,0.40047,1.0603,0.99362,0.99596,0.99248,0.823,0.74956,0.28146,1.05289,0.007888,0.007888,0.007888
66,3858.85,0.80609,0.3975,1.05842,0.99296,0.99512,0.99356,0.82415,0.74699,0.2873,1.04866,0.007855,0.007855,0.007855
67,3916.67,0.8058,0.39597,1.06534,0.99291,0.99434,0.993,0.82306,0.74567,0.28185,1.05328,0.007822,0.007822,0.007822
68,3974.53,0.80842,0.40231,1.06255,0.99205,0.99409,0.99261,0.82026,0.75247,0.27849,1.05384,0.007789,0.007789,0.007789
69,4031.99,0.79813,0.39762,1.05545,0.99323,0.99513,0.99134,0.82256,0.75666,0.28108,1.0544,0.007756,0.007756,0.007756
70,4089.91,0.80302,0.38945,1.05554,0.99222,0.99558,0.992,0.82045,0.76091,0.28951,1.05116,0.007723,0.007723,0.007723
71,4147.66,0.80808,0.40324,1.06228,0.99182,0.99298,0.99036,0.8235,0.74064,0.29977,1.05112,0.00769,0.00769,0.00769
72,4205.62,0.80592,0.39798,1.0587,0.99188,0.98868,0.99242,0.82057,0.74319,0.28766,1.05364,0.007657,0.007657,0.007657
73,4263.49,0.80159,0.39448,1.05581,0.99303,0.9939,0.99333,0.81932,0.74862,0.28296,1.05233,0.007624,0.007624,0.007624
74,4321.24,0.80867,0.39395,1.06016,0.9876,0.99555,0.99183,0.82121,0.74326,0.28427,1.0535,0.007591,0.007591,0.007591
75,4378.81,0.80459,0.39569,1.06411,0.99292,0.99438,0.99199,0.82393,0.75085,0.28182,1.04926,0.007558,0.007558,0.007558
76,4436.59,0.79766,0.39054,1.05638,0.99293,0.99319,0.99155,0.82194,0.73673,0.29087,1.04917,0.007525,0.007525,0.007525
77,4494.26,0.79279,0.38139,1.05189,0.98919,0.99375,0.99206,0.82113,0.74728,0.28313,1.05477,0.007492,0.007492,0.007492
78,4551.91,0.80831,0.39403,1.06158,0.98868,0.99386,0.99339,0.82488,0.74329,0.28503,1.04967,0.007459,0.007459,0.007459
79,4609.77,0.79793,0.38911,1.05654,0.992,0.99529,0.99269,0.82955,0.73724,0.28224,1.04169,0.007426,0.007426,0.007426
80,4667.42,0.80378,0.38875,1.05925,0.99351,0.99096,0.99257,0.8254,0.74136,0.28738,1.04774,0.007393,0.007393,0.007393
81,4725.26,0.78573,0.37943,1.04449,0.98982,0.99256,0.99304,0.82851,0.74178,0.28032,1.05035,0.00736,0.00736,0.00736
82,4783.06,0.79086,0.38123,1.05669,0.99384,0.99364,0.99318,0.83118,0.73636,0.26994,1.04789,0.007327,0.007327,0.007327
83,4840.91,0.80151,0.38778,1.06016,0.99377,0.99497,0.99225,0.82651,0.73169,0.27738,1.0403,0.007294,0.007294,0.007294
84,4898.73,0.78894,0.38387,1.05591,0.99025,0.99286,0.99214,0.82836,0.72999,0.27759,1.04838,0.007261,0.007261,0.007261
85,4956.42,0.79145,0.38761,1.05758,0.99118,0.9944,0.9935,0.83539,0.72405,0.27047,1.04187,0.007228,0.007228,0.007228
86,5014.29,0.78839,0.37331,1.05329,0.9919,0.99369,0.99318,0.83157,0.72798,0.273,1.03886,0.007195,0.007195,0.007195
87,5072.16,0.78926,0.37785,1.05232,0.99271,0.99461,0.99201,0.82842,0.73572,0.27615,1.04018,0.007162,0.007162,0.007162
88,5129.94,0.78469,0.37913,1.04841,0.99482,0.99646,0.99226,0.83073,0.72415,0.26687,1.04139,0.007129,0.007129,0.007129
89,5187.68,0.78245,0.37171,1.0499,0.99293,0.99603,0.99349,0.82888,0.72643,0.26659,1.03886,0.007096,0.007096,0.007096
90,5245.63,0.79312,0.377,1.05812,0.99538,0.99609,0.99335,0.82779,0.73014,0.26816,1.0398,0.007063,0.007063,0.007063
91,5303.06,0.79124,0.37225,1.05145,0.99146,0.99134,0.99248,0.8294,0.72983,0.27118,1.04274,0.00703,0.00703,0.00703
92,5360.8,0.78818,0.37763,1.05602,0.99051,0.99237,0.99269,0.82885,0.72941,0.27018,1.04393,0.006997,0.006997,0.006997
93,5418.58,0.79194,0.38357,1.06371,0.9918,0.99243,0.99306,0.82716,0.73459,0.27258,1.04212,0.006964,0.006964,0.006964
94,5476.3,0.78311,0.3718,1.05059,0.9941,0.99475,0.99342,0.83142,0.72319,0.26756,1.04008,0.006931,0.006931,0.006931
95,5534.33,0.78288,0.37186,1.05791,0.99409,0.99461,0.99204,0.8309,0.72638,0.2684,1.03667,0.006898,0.006898,0.006898
96,5592.04,0.78184,0.37114,1.044,0.99285,0.99473,0.99248,0.83291,0.72745,0.26871,1.03794,0.006865,0.006865,0.006865
97,5650.07,0.78476,0.37503,1.05092,0.9939,0.99651,0.99338,0.83634,0.71539,0.25775,1.031,0.006832,0.006832,0.006832
98,5707.88,0.78446,0.37266,1.05141,0.99389,0.99501,0.9931,0.82455,0.73371,0.26772,1.04117,0.006799,0.006799,0.006799
99,5765.79,0.78504,0.37149,1.04562,0.9933,0.9922,0.99304,0.83392,0.72201,0.26419,1.03355,0.006766,0.006766,0.006766
100,5823.67,0.78188,0.37071,1.0486,0.99282,0.99443,0.99152,0.83122,0.71693,0.2661,1.03373,0.006733,0.006733,0.006733
101,5881.59,0.77486,0.36735,1.04379,0.99245,0.99309,0.99022,0.8298,0.72293,0.26723,1.03685,0.0067,0.0067,0.0067
102,5939.25,0.78077,0.36908,1.05246,0.99323,0.99198,0.99292,0.8288,0.72747,0.26787,1.0375,0.006667,0.006667,0.006667
103,5997.18,0.77402,0.36349,1.04758,0.99432,0.99169,0.99298,0.83433,0.71876,0.26349,1.03474,0.006634,0.006634,0.006634
104,6054.99,0.76734,0.36603,1.0424,0.99404,0.99367,0.99326,0.83042,0.71952,0.2641,1.03917,0.006601,0.006601,0.006601
105,6112.53,0.77621,0.3713,1.04955,0.98998,0.99392,0.99002,0.83118,0.72561,0.27049,1.03689,0.006568,0.006568,0.006568
106,6170.3,0.76878,0.3616,1.04569,0.99001,0.99311,0.9915,0.83497,0.71935,0.26877,1.03631,0.006535,0.006535,0.006535
107,6228.01,0.77369,0.36915,1.047,0.99183,0.99353,0.99337,0.83125,0.72706,0.26717,1.03926,0.006502,0.006502,0.006502
108,6285.64,0.77382,0.36204,1.04665,0.9901,0.99256,0.99185,0.834,0.71467,0.26739,1.03133,0.006469,0.006469,0.006469
109,6343.7,0.76812,0.36709,1.04158,0.98891,0.99251,0.99295,0.83432,0.70819,0.26207,1.02663,0.006436,0.006436,0.006436
110,6402.86,0.76641,0.37165,1.04196,0.99363,0.99375,0.99308,0.83118,0.71534,0.25877,1.0298,0.006403,0.006403,0.006403
111,6460.85,0.77282,0.36519,1.0453,0.99491,0.99487,0.99346,0.83371,0.72064,0.26046,1.03581,0.00637,0.00637,0.00637
112,6518.85,0.76491,0.35598,1.04031,0.99332,0.99278,0.99224,0.83191,0.71221,0.25886,1.03166,0.006337,0.006337,0.006337
113,6576.7,0.76536,0.35669,1.03892,0.99193,0.99413,0.99311,0.83767,0.70811,0.25406,1.02986,0.006304,0.006304,0.006304
